date,year,month,currency_in_circulation,cash_in_vault,deposits_with_central_bank,bank_reserves_total,public_enterprise_demand_deposits,monetary_base
2021-12-31,2021,12,31799.8,2775.1,24759.8,27534.9,1534.5,60869.2
2022-01-31,2022,1,32819.2,2225.5,24316.8,26542.3,1704.2,61065.7
2022-02-28,2022,2,31940.6,3198.9,19396.2,22595.1,1667.1,56202.8
2022-03-31,2022,3,31311.2,2655.1,19798.2,22453.3,1655.9,55420.4
2022-04-30,2022,4,33729.0,1549.0,21024.4,22573.4,1648.8,57951.2
2022-05-31,2022,5,31109.1,3430.9,20567.9,23998.8,1645.8,56753.7
2022-06-30,2022,6,30399.6,3888.2,18714.2,22602.4,1613.2,54615.2
2022-07-31,2022,7,31619.0,3645.2,18584.6,22229.8,1612.7,55461.5
2022-08-31,2022,8,31663.1,3122.1,17937.4,21059.5,1560.1,54282.7
2022-09-30,2022,9,32421.0,2393.2,22473.3,24866.5,1570.5,58858.0
2022-10-31,2022,10,31180.0,3537.1,18497.3,22034.4,1566.2,54780.6
2022-11-30,2022,11,30133.0,3815.6,22310.2,26125.8,2283.0,58541.8
2022-12-31,2022,12,31353.4,2013.2,28949.9,30963.1,2134.0,64450.5
2023-01-31,2023,1,30782.8,2703.7,18031.5,20735.2,2265.6,53783.6
2023-02-28,2023,2,30605.5,3263.6,21986.2,25249.8,1737.3,57592.6
2023-03-31,2023,3,33933.7,3263.1,25257.3,28520.4,1296.0,63750.1
2023-04-30,2023,4,38762.3,2211.7,25425.8,27637.5,1102.3,67502.1
2023-05-31,2023,5,36108.4,4504.6,26400.1,30904.7,1091.1,68104.2
2023-06-30,2023,6,40041.1,2089.8,30445.2,32535.0,1067.2,73643.3
2023-07-31,2023,7,37126.9,4820.6,23871.5,28692.1,1053.3,66872.3
2023-08-31,2023,8,37309.2,4613.8,33094.4,37708.2,1047.1,76064.5
2023-09-30,2023,9,39213.8,3597.2,34470.9,38068.1,1579.9,78861.8
2023-10-31,2023,10,40200.5,3092.7,43383.2,46475.9,884.4,87560.8
2023-11-30,2023,11,40601.6,3415.5,43179.9,46595.4,875.8,88072.8
2023-12-31,2023,12,43154.0,1916.0,48870.0,50786.0,874.2,94814.2
2024-01-31,2024,1,44482.9,912.2,49738.9,50651.1,847.2,95981.2
2024-02-29,2024,2,43341.6,2694.8,57746.2,60441.0,837.4,104620.0
2024-03-31,2024,3,44472.3,2059.4,51136.9,53196.3,838.0,98506.6
2024-04-30,2024,4,42190.8,4442.0,47674.7,52116.7,842.1,95149.6
2024-05-31,2024,5,42754.4,3330.4,41393.0,44723.4,837.1,88314.9
2024-06-30,2024,6,44396.2,2346.7,43839.4,46186.1,1234.8,91817.1
2024-07-31,2024,7,44798.8,2224.0,52961.9,55185.9,804.7,100789.4
2024-08-31,2024,8,44843.1,2311.5,44324.0,46635.5,800.7,92279.3
2024-09-30,2024,9,45949.1,1613.9,52068.0,53681.9,1452.3,101083.3
2024-10-31,2024,10,46984.2,2320.0,58022.7,60342.7,822.6,108149.5
2024-11-30,2024,11,48318.3,1301.5,59121.8,60423.3,796.3,109537.9
2024-12-31,2024,12,48883.4,1421.6,49926.4,51348.0,880.2,101111.6
2025-01-31,2025,1,48089.1,2336.1,54678.7,57014.8,1245.8,106349.7
2025-02-28,2025,2,48293.9,3083.3,49039.9,52123.2,1241.1,101658.2
